               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  79,            0.016171,           0.0083069,                   0,              0.9836,             0.97793,             0.99138,              0.7448,            0.019843,            0.006424,                   0,            0.004852,            0.004852,            0.004852
                  80,            0.016059,           0.0083664,                   0,             0.97844,             0.98188,             0.99086,             0.75009,              0.0196,           0.0063546,                   0,            0.004786,            0.004786,            0.004786
                  81,            0.016092,           0.0085752,                   0,             0.98001,             0.97696,             0.98859,             0.72984,             0.02054,           0.0066049,                   0,             0.00472,             0.00472,             0.00472
                  82,            0.015773,           0.0080092,                   0,             0.98193,             0.98431,             0.99046,             0.74043,            0.019946,            0.006436,                   0,            0.004654,            0.004654,            0.004654
                  83,            0.015817,           0.0083713,                   0,             0.98358,             0.97671,             0.99067,             0.72656,            0.020696,           0.0066116,                   0,            0.004588,            0.004588,            0.004588
                  84,            0.015406,           0.0078531,                   0,             0.97665,             0.98489,             0.99098,             0.74679,            0.019512,           0.0064645,                   0,            0.004522,            0.004522,            0.004522
                  85,            0.015986,           0.0082798,                   0,              0.9765,              0.9837,             0.98917,             0.74389,            0.019876,           0.0065652,                   0,            0.004456,            0.004456,            0.004456
                  86,            0.015714,           0.0084045,                   0,             0.97675,             0.97645,             0.98893,             0.74679,            0.019876,           0.0066956,                   0,             0.00439,             0.00439,             0.00439
                  87,            0.015239,           0.0080713,                   0,             0.98181,             0.97794,             0.99069,             0.74005,            0.020116,           0.0067379,                   0,            0.004324,            0.004324,            0.004324
                  88,            0.015285,           0.0079757,                   0,             0.98068,             0.97645,             0.98953,             0.73534,            0.020166,           0.0066517,                   0,            0.004258,            0.004258,            0.004258
                  89,            0.015213,           0.0080535,                   0,             0.98006,             0.97946,             0.98922,             0.73747,             0.01996,           0.0065603,                   0,            0.004192,            0.004192,            0.004192
                  90,            0.015114,           0.0079855,                   0,             0.98127,             0.98188,             0.99101,             0.74566,            0.019652,           0.0064639,                   0,            0.004126,            0.004126,            0.004126
                  91,            0.015441,           0.0081441,                   0,             0.98186,             0.98051,             0.98796,             0.72855,            0.020645,            0.006706,                   0,             0.00406,             0.00406,             0.00406
                  92,            0.015383,           0.0081812,                   0,             0.98545,             0.98183,             0.99024,             0.74429,            0.019796,           0.0066108,                   0,            0.003994,            0.003994,            0.003994
                  93,             0.01476,            0.007882,                   0,             0.97901,             0.98007,             0.98607,             0.73766,            0.020148,           0.0067365,                   0,            0.003928,            0.003928,            0.003928
                  94,            0.014898,           0.0078909,                   0,             0.98365,             0.98104,             0.99043,             0.73365,            0.020428,           0.0066104,                   0,            0.003862,            0.003862,            0.003862
                  95,            0.015063,           0.0079017,                   0,             0.97658,             0.98188,             0.99045,             0.74414,            0.019775,           0.0064736,                   0,            0.003796,            0.003796,            0.003796
                  96,            0.014811,            0.007906,                   0,             0.97961,             0.97826,             0.98879,             0.74837,            0.019647,           0.0065668,                   0,             0.00373,             0.00373,             0.00373
                  97,            0.014822,            0.007833,                   0,              0.9783,             0.97985,              0.9911,             0.74308,             0.01988,           0.0066595,                   0,            0.003664,            0.003664,            0.003664
                  98,            0.014576,           0.0080522,                   0,             0.98264,             0.97826,             0.99069,             0.74604,            0.019635,           0.0065639,                   0,            0.003598,            0.003598,            0.003598
                  99,            0.014848,           0.0079949,                   0,             0.96929,             0.98188,             0.99102,             0.75299,            0.019328,           0.0065138,                   0,            0.003532,            0.003532,            0.003532
                 100,             0.01519,           0.0082094,                   0,             0.98179,              0.9837,             0.99136,             0.74569,            0.019949,           0.0066199,                   0,            0.003466,            0.003466,            0.003466
                 101,            0.014831,           0.0077368,                   0,             0.98189,             0.98222,             0.99137,             0.74963,            0.019398,           0.0066087,                   0,              0.0034,              0.0034,              0.0034
                 102,            0.014475,           0.0074982,                   0,              0.9854,             0.97799,             0.99094,             0.74634,            0.019645,           0.0066159,                   0,            0.003334,            0.003334,            0.003334
                 103,            0.014387,           0.0075018,                   0,              0.9828,             0.97826,              0.9908,             0.74642,            0.019951,           0.0065999,                   0,            0.003268,            0.003268,            0.003268
